year,track_name,artist_name,artist_id
2025,Lucro (Descomprimindo),BaianaSystem,5JHYuwE2n7bleXMUsmtCW5
2025,Velha Roupa Colorida,Elis Regina,0yFvXd36g5sNKYDi0Kkvl8
2025,Transante,Lagum,5D56dZmhE9DgT01XixdHiD
2025,Existe Uma Voz,Rogê,2qLU3VUpp3uV2Oyf786FC3
2025,Cara Esperto,Forfun,1qIAsl3tIpnX0j4BMi0l5g
2025,Myage,Descendents,1FGH4Bh7g9W6V4fUcKZWp5
2025,THAT'S THAT,MF DOOM,2pAWfrd7WFF3XhVt9GooDL
2025,LIGHT DESIGN,Turnstile,2qnpHrOzdmOo1S4ox3j17x
2025,Last Caress - C.I. Recording 1978,Misfits,1cXi8ALPQCBHZbf0EgP4Ey
2025,Não Existe Amor em SP,Criolo,37ZflmHTdxkSLQuT8w9NBs
2025,Moro No Brasil,Farofa Carioca,0k2zbhJRe1fIVkerm0toyh
2025,Bogotá,Criolo,37ZflmHTdxkSLQuT8w9NBs
2025,1967 - Live,Marcelo D2,1vEN3d3dJbmdHQpXD6AIkL
2025,O Telefone Tocou Novamente,Jorge Ben Jor,5JYtpnUKxAzXfHEYpOeeit
2025,Não Vou Mentir,Lagum,5D56dZmhE9DgT01XixdHiD
2025,Ando Meio Desligado,BRAZA,5F0iFhw7bZE7a8INjualJn
2025,Not That Nice,Speed,4wf6GGNBqaU79839E6yjfn
2025,Whole Lotta Love - 1990 Remaster,Led Zeppelin,36QJpDe2go2KgaRleHCDTp
2025,Samurai (feat. Stevie Wonder),Djavan,5rrmaoBXZ7Jcs4Qb77j0YA
2025,"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,3PhoLpVuITZKcymswpck5b
2025,A Cosmologia Corporativista do Senhor Arthur Jansen,FBC,29QKtXMaVczUBDiI3aPBWS
2025,So Much Trouble In The World,Bob Marley & The Wailers,2QsynagSdAqZj3U9HgDzjD
2025,Is This Love,Bob Marley & The Wailers,2QsynagSdAqZj3U9HgDzjD
2025,Dirty Harry (feat. Bootie Brown),Gorillaz,3AA28KZvwAUcZuOKwyblJQ
2025,A Horse with No Name,America,35U9lQaRWSQISxQAB94Meo
2025,À Primeira Vista,Chico César,3vlUveVfzPXzhiPGjHHxOH
2024,Palhacin,Gastação Infinita,47LV5Aj9WLzNli3sWxXKFZ
2024,Chão no Teto,Gastação Infinita,47LV5Aj9WLzNli3sWxXKFZ
2024,violão amarelo,Os Garotin,6aMpeys8CsM9RuRR74RNMP
2024,Quero Esquecer Você,Los Sebosos Postizos,6J3woQCTe8Tk7APW7vjy4H
2024,Blue by You,Turnstile,2qnpHrOzdmOo1S4ox3j17x
2024,Meio Ambiente,Gastação Infinita,47LV5Aj9WLzNli3sWxXKFZ
2024,Queda Livre,Os Garotin,6aMpeys8CsM9RuRR74RNMP
2024,Black Steel in the Hour of Chaos - 2021 Remaster,Sepultura,6JW8wliOEwaDZ231ZY7cf4
2024,Mariô,Criolo,37ZflmHTdxkSLQuT8w9NBs
2024,Bonita,Raimundos,3CfJckVRuukdJSvK3r89yJ
2024,Nada Será Como Antes,Milton Nascimento,3Bnq7jiU506HcPjRgQ43TM
2024,João Bananeira,Gastação Infinita,47LV5Aj9WLzNli3sWxXKFZ
2024,Hey Arnold's Stompin,My Shared Folder,1URJackDcs6wTwX3yo6W5l
2024,Ninguém vive por mim,Sérgio Sampaio,0ttwBh6o5To3XujSD4x3uA
2024,Anti-Matter,OMA,6tcltBYoeWDm2P6NoawNIT
2024,Quero Ir,Sociedade Da Grã-Ordem Kavernista,0TlzfAtBQyUfN3pPB2wn1v
2024,T.L.C. (TURNSTILE LOVE CONNECTION),Turnstile,2qnpHrOzdmOo1S4ox3j17x
2024,Que loucura,Sérgio Sampaio,0ttwBh6o5To3XujSD4x3uA
2024,N.Y. State of Mind,OMA,6tcltBYoeWDm2P6NoawNIT
2024,Maria da Vila Matilde,Elza Soares,4cn4gMq0KXORHeYA45PcBi
2024,I Don't Wanna Be Blind,Turnstile,2qnpHrOzdmOo1S4ox3j17x
2024,Doce Melodia,Sérgio Sampaio,0ttwBh6o5To3XujSD4x3uA
2024,Doomsday,OMA,6tcltBYoeWDm2P6NoawNIT
2024,Amor de Papel e Cola,Gastação Infinita,47LV5Aj9WLzNli3sWxXKFZ
2024,Foi Difícil,Dibob,5unSnRQbVY6bEHkfNfgX5R
2024,Lero E Leros E Boleros,Sérgio Sampaio,0ttwBh6o5To3XujSD4x3uA
2024,The Message,OMA,6tcltBYoeWDm2P6NoawNIT
2024,Viva (Melô Dos Vileiros) - Live,Criolo,37ZflmHTdxkSLQuT8w9NBs
2024,Eu Acho Graça,Sociedade Da Grã-Ordem Kavernista,0TlzfAtBQyUfN3pPB2wn1v
2024,Polícia Bandido Cachorro Dentista,Sérgio Sampaio,0ttwBh6o5To3XujSD4x3uA
2024,C.R.E.A.M. - Live Instrumental,OMA,6tcltBYoeWDm2P6NoawNIT
2024,Foi de Amor,Nação Zumbi,4Va55p3P2P96lIgzntievo
2024,Feelm Intermission,Underground Canopy,7k7AFLI13ChqpIlQGI1lJo
2024,"Não Tenha Medo Não! (Rua Moreira, 65)",Sérgio Sampaio,0ttwBh6o5To3XujSD4x3uA
2024,"Shook Ones, Pt. II",OMA,6tcltBYoeWDm2P6NoawNIT
2024,queda livre,Os Garotin,6aMpeys8CsM9RuRR74RNMP
2024,All Caps,Madvillain,2aoFQUeHD1U7pL098lRsDU
2024,Até outro dia,Sérgio Sampaio,0ttwBh6o5To3XujSD4x3uA
2024,It Was A Good Day (Footsteps in the Dark),OMA,6tcltBYoeWDm2P6NoawNIT
2024,Waiting Room,Fugazi,62sC6lUEWRjbFqXpMmOk4G
2024,Hope,Descendents,1FGH4Bh7g9W6V4fUcKZWp5
2024,Velho bandido,Sérgio Sampaio,0ttwBh6o5To3XujSD4x3uA
2024,Infinito Azul,Gastação Infinita,47LV5Aj9WLzNli3sWxXKFZ
2024,Bad Mouth,Fugazi,62sC6lUEWRjbFqXpMmOk4G
2024,Rapp Snitch Knishes - Live Instrumental,OMA,6tcltBYoeWDm2P6NoawNIT
2024,Faixa Seis,Sérgio Sampaio,0ttwBh6o5To3XujSD4x3uA
2024,Demanda,Sain,26aPjwxSSJsGy6yQ19YL55
2024,Gør Det,Otesla,4TcaTULxuMBvC57uafRGIE
2024,You Know How We Do It,OMA,6tcltBYoeWDm2P6NoawNIT
2024,Odete,Sérgio Sampaio,0ttwBh6o5To3XujSD4x3uA
2024,Letters to Jun(E),Witness,7to2Zxi3tNA22VSIZfDh2M
2024,Gila Monster,King Gizzard & The Lizard Wizard,6XYvaoDGE0VmRt83Jss9Sn
2024,She Watch Channel Zero?!,Public Enemy,6Mo9PoU6svvhgEum7wh2Nd
2024,Cabras pastando,Sérgio Sampaio,0ttwBh6o5To3XujSD4x3uA
2024,Hypnotize - 2014 Remaster,The Notorious B.I.G.,5me0Irg2ANcsgc93uaYrpb
2024,MYSTERY,Turnstile,2qnpHrOzdmOo1S4ox3j17x
2024,Demorô,Criolo,37ZflmHTdxkSLQuT8w9NBs
2024,Tem que acontecer,Sérgio Sampaio,0ttwBh6o5To3XujSD4x3uA
2024,Work This Time,King Gizzard & The Lizard Wizard,6XYvaoDGE0VmRt83Jss9Sn
2024,Hopscotch - Slow,Miles Davis,0kbYTNQb4Pb1rPbbaF0pT4
2024,Rebirth of Cool,DJ Cam Quartet,0DkOD427BCfr11yQVvfqU9
2024,Quanto mais,Sérgio Sampaio,0ttwBh6o5To3XujSD4x3uA
2024,Cornélios,Gastação Infinita,47LV5Aj9WLzNli3sWxXKFZ
2024,curva escura,Os Garotin,6aMpeys8CsM9RuRR74RNMP
2024,Runnin',OMA,6tcltBYoeWDm2P6NoawNIT
2024,Na Captura,Sérgio Sampaio,0ttwBh6o5To3XujSD4x3uA
2024,Essa É Pra Tocar No Baile,BNegão,3wYrCJWf6iI5vuUDOnZdUw
2024,Disritmia,Casuarina,0Z7qVrRll0xvdJ68DX0O0b
2024,The World Is Yours,OMA,6tcltBYoeWDm2P6NoawNIT
2024,"O que pintá, pintô",Sérgio Sampaio,0ttwBh6o5To3XujSD4x3uA
2024,Road to the West,SEATBELTS,3U3zr5PCRa9ty74uN46iBa
2024,Mãos,Almir Guineto,2x5fdOl1kpBgD74cOkzNY0
2024,Electric Relaxation,OMA,6tcltBYoeWDm2P6NoawNIT
2024,Eu Quero É Botar Meu Bloco Na Rua,Sérgio Sampaio,0ttwBh6o5To3XujSD4x3uA
2024,em nome da paz,Os Garotin,6aMpeys8CsM9RuRR74RNMP
2024,Maria de Vila Matilde,Douglas Germano,2ig041GcPcddsLoeUWpcJ0
2024,Raid,OMA,6tcltBYoeWDm2P6NoawNIT
2024,Em Nome de Deus,Sérgio Sampaio,0ttwBh6o5To3XujSD4x3uA
2024,Epipremnum Aureum NJoy,Ciao Ciao Marigold,5MdvoiMcOaHXOAHKabtSpX
2024,Coração Sapato,Mukeka di Rato,2WEABapGGzYET6Dq5tmIDi
2024,Do For Love,OMA,6tcltBYoeWDm2P6NoawNIT
2024,Cruel,Sérgio Sampaio,0ttwBh6o5To3XujSD4x3uA
2024,Loop Prisoner,Jazz Liberatorz,6wq0ypfSKR1Baqi4qoJWsq
2024,Ease Back Interlude,The Rugged Nuggets,5kPBcUdkq1hxUdpdyc1X0Y
2024,Deetermeter,Testiculo y Uno,0pkecf4XKAVfFHUtgdoSE9
2024,Cala A Boca Zebedeu,Sérgio Sampaio,0ttwBh6o5To3XujSD4x3uA
2024,Interludio De Medicamento,Suff Daddy,7BYXrz5LhCrix6A3EwPvU0
2024,Sucrilhos,Criolo,37ZflmHTdxkSLQuT8w9NBs
2024,Pontes Indestrutíveis,Charlie Brown Jr.,1on7ZQ2pvgeQF4vmIA09x5
2024,Nublum,Macaco Bong,5N59uF54tNuJLYH7Y6sBTD
2024,White Sands,Tommy Guerrero,5qnkHpjyS6CUxH1UUy82B7
2024,Nem Vem Que Não Tem,Wilson Simonal,6DqFCzjARUV3xH9meu3Bya
2024,Slow Jam 1,King Gizzard & The Lizard Wizard,6XYvaoDGE0VmRt83Jss9Sn
2024,One Step Closer,Linkin Park,6XyY86QOPPrYVGvF9ch6wz
2024,Mr. Biko,Wolfgang Lackerschmid,3DK2TT2zcwr9AbWTfOHwxS
2024,The Fox,The Filthy Six,1AiQK5vJEjhf6pFcWs5nWp
2024,Aquele Abraço,Tim Maia,0jOs0wnXCu1bGGP7kh5uIu
2024,Luv(sic),OMA,6tcltBYoeWDm2P6NoawNIT
2024,"Capítulo 4, Versículo 3",Racionais MC's,29CQLw9uLWsl8Qkz9holfr
2024,Cornélios,Gastação Infinita,47LV5Aj9WLzNli3sWxXKFZ
2023,Infinito Azul,Gastação Infinita,47LV5Aj9WLzNli3sWxXKFZ
2023,João Bananeira - Ao Vivo,Gastação Infinita,47LV5Aj9WLzNli3sWxXKFZ
